Company,Growth Category,Physician Density,Scale Metric,Decision Makers,Ownership Structure,Procedure Focus,Top State Footprint (Excl. CA),Verification URL (2024-2026)
Cleveland Clinic (OH),Multi-Specialty | IDN,125+ Ortho Physicians,Level I Trauma (Provisional 2026); 20+ Hospitals,Thomas Mroz (Chair Ortho/Rheum); William Wick Jr (VAC),Non-profit Academic IDN; International Strategy,Mako; Rosa; DaVinci,OH; FL; NV,https://consultqd.clevelandclinic.org/thomas-mroz-md-named-chair-of-the-orthopaedic-rheumatologic-institute
University Hospitals (OH),Multi-Specialty | IDN,100+ Ortho Physicians (Proxy),Level I Trauma (Main); 18 Hospitals,James Voos (Chairman); Cliff Megerian (CEO),Non-profit IDN; Sports Med Hub (Browns),Mako; VELYS; Rosa,OH,https://www.uhhospitals.org/for-clinicians/specialties/orthopedics/leadership
UPMC (PA),Multi-Specialty | IDN,4200+ Total Physicians (Proxy),Level I Trauma (Presby); 40 Hospitals,MaCalus Hogan (Chair Ortho); Tim Nedley (VAC),Academic Health System; International (Ireland/Italy),Mako; Rosa,PA; NY; MD,https://www.upmc.com/media/news/091222-hogan-ortho-chair
Allegheny Health Network (PA),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (General); 14 Hospitals,Mark Sevco (President); Lou Baverso (VAC/COO),Subsidiary of Highmark Health; Living Health Model,Mako; High Volume Trauma,PA; NY; WV,https://www.prnewswire.com/news-releases/highmark-health-names-mark-sevco-as-president-of-allegheny-health-network-302377237.html
Main Line Health (PA),Multi-Specialty | IDN,300+ Ortho Specialists (Proxy),Level II Trauma (Lankenau); 5 Hospitals,Scott Rushton (Director); Christine Torres (VAC),Non-profit IDN; 3B Orthopaedics Affiliate,Mako; Sub-specialized Spine/Joint,PA,https://www.mainlinehealth.org/locations/orthopaedics
Sentara Health (VA/NC),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (Norfolk); 12 Hospitals,Erick Vitug (VP Ortho/Neuro); Cathy Gray (VAC),Non-profit IDN; Strong Mid-Atlantic Footprint,Mako; Robotics-led Joint program,VA; NC,https://www.sentara.com/aboutus/news/articles/sentara-announces-leadership-changes-2026
Inova (VA),Multi-Specialty | IDN,400+ Ortho Specialists (Proxy),Level I Trauma (Fairfax); 5 Hospitals,Robert Hymes (Line Chief); John Moynihan (VAC),Non-profit IDN; Washington Nationals Partner,Mako; Rosa; DaVinci,VA; MD; DC,https://www.inova.org/locations/inova-trauma-center-fairfax
Hackensack Meridian Health (NJ),Multi-Specialty | IDN,1000+ Ortho Specialists (Proxy),Level I Trauma (HUMC); 18 Hospitals,Wayne Berberian (Director); Blomback (VAC),Non-profit IDN; Largest NJ Surgical Network,Mako; Rosa; CORI,NJ; NY,https://www.hackensackmeridianhealth.org/en/news/2025/03/03/new-jersey-now-has-its-first-verified-level-1-pediatric-trauma-center
Atlantic Health System (NJ),Multi-Specialty | IDN,4800+ Total Physicians (Proxy),Level II Trauma (Morristown); 6 Hospitals,Saad Ehtisham (CEO); Ellen Dean (Ortho Dir),Non-profit IDN; Morristown Medical Center Anchor,Mako; High Volume Outpatient,NJ; PA,https://www.atlantichealth.org/press-releases/2025/atlantic-health-names-saad-ehtisham-as-president-ceo
Virtua Health (NJ),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level II Trauma (Marlton); 5 Hospitals,James Sanfilippo (VP Ops); Sanchez (VAC Lead),Non-profit IDN; Strong Ortho JV ASC model,Mako; High-volume Joint Replacement,NJ; PA,https://www.causeiq.com/organizations/virtua-medical-group,271348772/
Orlando Health (FL),Multi-Specialty | IDN,500+ Ortho Specialists (Proxy),Level I Trauma (ORMC); 15 Hospitals,Michael Jablonski (President Jewett); Ultima Espino (VAC),Non-profit IDN; Jewett Orthopedic Institute Hub,Mako; Rosa; DaVinci,FL; AL,https://www.orlandohealth.com/content-hub/oh-unveils-renovated-emergency-department-at-central-floridas-only-level-one-trauma-center
St. Luke’s University Health Network (PA/NJ),Multi-Specialty | IDN,400+ Ortho Specialists (Proxy),Level I Trauma (Bethlehem); 15 Hospitals,Douglas Lundy (Chair); Jessica Kamensky (Line Admin),Non-profit IDN; Dedicated Orthopedic Hospital,VELYS; High Volume Elective,PA; NJ,https://www.slhn.org/fitness/blog/2023/new-orthopedic-hospital
