Company,Growth Category,Physician Density,Scale Metric,Decision Makers,Ownership Structure,Procedure Focus,Top State Footprint (Excl. CA),Verification URL (2024-2026)
Johns Hopkins Medicine,Multi-Specialty | IDN (Academic),150+ Ortho/Spine,6 Hospitals; 10+ ASCs,"Amit Jain (VP Care Transformation); Khaled Kebaish (Spine Chief)",Academic Non-Profit,Complex Spine (Robotic); Total Joint; Pediatric Ortho,"MD, FL, DC",https://www.hopkinsmedicine.org/orthopaedic-surgery/specialty-areas/spine
Duke Health,Multi-Specialty | IDN (Academic),120+ Ortho/Spine,3 Hospitals; 15+ Clinics,"Christopher Shaffrey (Spine Chief); Michael Gottschalk (Chair)",Academic Non-Profit,Complex Spine; Sports Medicine; Hand/Upper Extremity,"NC, VA, SC",https://www.dukehealth.org/treatments/orthopaedics/spine-care
Mass General Brigham,Multi-Specialty | IDN (Academic),250+ Ortho/Spine,12 Hospitals; 20+ ASCs,"Mitch Harris (Chair); Stuart Hershman (Spine Chief)",Academic Non-Profit,Spine Surgery; Trauma; Joint Replacement,"MA, NH, RI",https://www.massgeneralbrigham.org/en/patient-care/services-and-specialties/orthopaedics
Mayo Clinic,Multi-Specialty | IDN (Academic),300+ Ortho/Spine,20+ Hospitals (Global System),"Jim Francis (CSCO); Benjamin Elder (Spine Lead)",Academic Non-Profit,Multi-Level Spine; Sarcoma; Revision Arthroplasty,"MN, AZ, FL",https://www.mayoclinic.org/departments-centers/orthopedic-surgery/sections/overview/ovc-20126768
MedStar Health,Multi-Specialty | IDN (Regional),100+ Ortho/Spine,10 Hospitals; 30+ Sports Med Centers,"Seyed Babak Kalantar (Spine Chief); Stephen Evans (CMO)",Non-Profit,Spine; Sports Medicine; Foot & Ankle,"MD, DC, VA",https://www.medstarhealth.org/services/orthopaedics-and-sports-medicine
Ochsner Health,Multi-Specialty | IDN (Regional),80+ Ortho/Spine,40+ Hospitals (Owned/Managed),"George Chimento (Chair); Deryk Jones (Sports Med Chief)",Non-Profit,Robotic Joint Replacement; Spine; Pediatric Ortho,"LA, MS, AL",https://www.ochsner.org/services/orthopedics
UMMS (University of Maryland Medical System),Multi-Specialty | IDN (Academic),110+ Ortho/Spine,11 Hospitals,"Steven Ludwig (Spine Chief); Gary Kane (VP Supply Chain)",Non-Profit,Spine Trauma; Ortho Oncology; Sports Med,"MD, PA, DE",https://www.umms.org/ummc/health-services/orthopaedics
Wake Forest Baptist Health,Multi-Specialty | IDN (Academic),90+ Ortho/Spine,7 Hospitals,"David Reese O'Brien (Medical Spine Chief); Kelly Rosenfeld (AVP MSK)",Non-Profit (Part of Advocate),Spine; Joint Replacement; Trauma,"NC, SC, VA",https://www.wakehealth.edu/specialty/o/orthopaedics
MUSC Health,Multi-Specialty | IDN (Academic),70+ Ortho/Spine,14 Hospitals,"Lee Leddy (Chair); Austin Zoeller (Assoc CSCO)",Public Academic,Ortho Oncology; Spine; Sports Med,SC (Primary Dominance),https://muschealth.org/medical-services/orthopaedics
ChristianaCare,Multi-Specialty | IDN (Regional),60+ Ortho/Spine,3 Hospitals; 5+ ASCs,"Kert Anzilotti (Pres Med Group); Luis Forero (CSCO)",Non-Profit,Joint Replacement; Spine; Sports Med,"DE, PA, MD",https://christianacare.org/services/orthopaedics/
Scripps Health,Multi-Specialty | IDN (Regional),70+ Ortho/Spine,5 Hospitals; 20+ Outpatient,"James Bruffey (Ortho Chair); Elizabeth Eisenberg (Value Analysis)",Non-Profit,Spine; Sports Medicine; Joint Replacement,"AZ, NV, OR",https://www.scripps.org/services/orthopedics
UAB Medicine,Multi-Specialty | IDN (Academic),80+ Ortho/Spine,3 Hospitals,"Steven Theiss (Chair/Spine Chief); Eric Manning (Supply Chain)",Public Academic,Complex Spine; Joint Reconstruction; Trauma,"AL, GA, MS",https://www.uabmedicine.org/specialties/orthopaedics/
